date_submitted,survey_consent,latitude,longitude,link_community_site,link_community_na,w1_latitude,w1_longitude,w1_method,w1_region,w1_loc_latitude,w1_loc_longitude,w2,w2_other_specify,w3,w3_other_specify,w4,w5,w5_dont_know,w6,w6_dont_know,w7,w8,w9,w10_mpn,w10_confidence,w10_health_risk,w10_image,w10_c1,w10_c2,w10_c3,w10_c4,w10_c5,w11_magnitude,w11_units,w12,w13_magnitude,w13_units,w14,w15,w16,toilet_type,toilet_shared,waste_removed,waste_treated,waste_disposal,handwash_place,handwash_not_observed_reason,handwash_water,handwash_soap,handwash_water_soap
11/03/2020,Yes,-16.08595345,35.24894471,7431135,NA,-16.08591886,35.24905255,GPS,"TA Kapichi, Thyolo, Malawi",-16.08591886,35.24905255,Borehole or tubewell,NA,NA,NA,Elsewhere,45,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
11/03/2020,Yes,-16.09069606,35.26726884,7431135,NA,-16.09071819,35.26724397,GPS,"TA Kapichi, Thyolo, Malawi",-16.09071819,35.26724397,Borehole or tubewell,NA,NA,NA,Elsewhere,25,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
11/03/2020,Yes,-16.0967654,35.26330284,7431135,NA,-16.09680986,35.26331005,GPS,"TA Kapichi, Thyolo, Malawi",-16.09680986,35.26331005,Borehole or tubewell,NA,NA,NA,Elsewhere,65,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is not available,Soap or detergent not present,NA
12/03/2020,Yes,-16.08717664,35.29307476,11152084,NA,-16.08713245,35.29308621,GPS,"TA Kapichi, Thyolo, Malawi",-16.08713245,35.29308621,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
12/03/2020,Yes,-16.09125406,35.28864579,11152084,NA,-16.09123607,35.288654,GPS,"TA Kapichi, Thyolo, Malawi",-16.09123607,35.288654,Borehole or tubewell,NA,NA,NA,Elsewhere,55,NA,Yes,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
31/01/2021,Yes,-16.1626834,35.1019419,11194723,NA,-16.162635,35.1019912,GPS,"SC Kwethemule, Thyolo, Malawi",-16.162635,35.1019912,Borehole or tubewell,NA,NA,NA,Elsewhere,60,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
16/12/2021,Yes,-16.1644192,35.1206047,11194723,NA,-16.1644306,35.1206999,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1644241,35.1205587,Borehole or tubewell,NA,NA,NA,Elsewhere,10,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is not available,Soap or detergent present,NA
16/12/2021,Yes,-16.1647092,35.1206849,11194723,NA,-16.1649185,35.120776,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1649185,35.120776,Borehole or tubewell,NA,NA,NA,Elsewhere,20,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent not present,NA
28/01/2021,Yes,-16.1650348,35.1108914,11194723,NA,-16.1650348,35.1108914,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1650348,35.1108914,Protected spring,NA,NA,NA,Elsewhere,90,NA,No,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,Yes,No,Yes,Waste pit is filled in or covered over,Not observed - no handwashing place in dwelling / yard / plot,NA,NA,NA,NA
16/12/2021,Yes,-16.1657503,35.12077,11194723,NA,-16.1657336,35.1207492,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1657336,35.1207492,Borehole or tubewell,NA,NA,NA,Elsewhere,20,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent not present,NA
16/12/2021,Yes,-16.166079,35.1205445,11194723,NA,-16.1669936,35.1202156,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1669936,35.1202156,Borehole or tubewell,NA,NA,NA,Elsewhere,30,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
16/12/2021,Yes,-16.1672236,35.1176228,11194723,NA,-16.1672015,35.1176483,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1672067,35.1176515,Piped supply,NA,NA,NA,Elsewhere,5,NA,Yes,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
16/12/2021,Yes,-16.1679408,35.1180278,11194723,NA,-16.1679286,35.1180182,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1679286,35.1180182,Borehole or tubewell,NA,NA,NA,Elsewhere,60,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
16/12/2021,Yes,-16.1697809,35.1155796,11194723,NA,-16.169633,35.1156008,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1696113,35.1156005,Borehole or tubewell,NA,NA,NA,Elsewhere,60,NA,Yes,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
16/12/2021,Yes,-16.17154,35.1185263,11194723,NA,-16.1715434,35.1185436,GPS,"SC Kwethemule, Thyolo, Malawi",-16.171596,35.1185411,Borehole or tubewell,NA,NA,NA,Elsewhere,45,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent not present,NA
16/12/2021,Yes,-16.1719514,35.1135719,11194723,NA,-16.1734229,35.1133939,GPS,"SC Kwethemule, Thyolo, Malawi",-16.1734092,35.1134084,Borehole or tubewell,NA,NA,NA,Elsewhere,20,NA,No,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is not available,Soap or detergent present,NA
16/12/2021,Yes,-16.1732791,35.091451,11194723,NA,-16.1733023,35.0914847,GPS,"SC Kwethemule, Thyolo, Malawi",NA,NA,Borehole or tubewell,NA,NA,NA,Elsewhere,45,NA,Yes,NA,Yes,Point of collection (source),E. coli / TTC - Presence/absence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Absent,NA,NA,No,NA,NA,Pit latrine without slab/ Open pit,No,No,Yes,Waste pit is filled in or covered over,Observed - Fixed facility or mobile object in dwelling / yard / plot,NA,Water is available,Soap or detergent present,NA
